ID,Title,Location,Salary,Summary
bfd23ce0ab1138c2,[허밍] 경력 디자이너,허밍IMC 서울 서초구,,"이지/배너/SNS카드뉴스 - edm 제작 및 발송(FTP, html 코딩) 코딩의 경우 기본 HTML코딩이며, java, c++같은 전문코딩은 아님. 2) 오프라인 디자인(옥외광고 및 각종 인쇄 디자인) - 카탈로그, 브로셔..."
a9ad21994c965531,"JAVA웹 중급개발자, 안드로이 중급 개발자 경력 정규직",솔게이트 서울 종로구,,및 내부 프로젝트 준비를 위해 중급 JAVA 웹 개발자를 충원하고 있습니다... JAVA웹 중급개발자 [자격요건] 경력사항: 경력(4년 이상 ) 학력사항: 초대졸 이상 -필수자격증:정보처리사 [필수사항] - JAVA Spring...
1662f47b5aae25da,"응용프로그래머, 웹프로그래머 외 경력 정규직, 계약직",아가도스 서울 강남구,"연봉 50,000,000원 - 60,000,000원","응용프로그램 android - java, jsp 등 모바일 개발 [근무부서... 인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머..."
02eec7e897483ba1,SC제일은행 디지털플랫폼팀 직원 채용(디자인/퍼블리싱/개발),한국스탠다드차타드은행 서울 공평동,,학교 졸업 이상의 학력보유자 - Html5/css3/jquery/javascript/JSP 스킬 보유자 - Java Server 프로그램 개발 스킬 보유자 - 관리자 WEB 개발/운영 유경험자 - 화면 개발 관련 업무...
06c3a6e421833ad1,"JAVA, JSP 경력 계약직, 프리랜서",모드니사회적협동조합 서울,,인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>JSP
eeb027369cdab361,분석 플랫폼 웹 프론트 엔지니어,Nexon 성남 분당구,,"Javascript 등 웹어플리케이션 개발을 위한 front-end 개발 가능 - Node, Python, C#, Java 중 최소 1개 언어에 대한 경험이 있는 분 - SQLServer, Mysql과 같은 RDBMS..."
3ecd87a745e7b526,경력,LG CNS 3.7 서울,,"솔루션 사용 경력 3년 이상 ② Java 등 개발 경력 3년 이상 우대사항... 웨어/ JAVA Application Framework 솔루션 개발(미들웨어/Framework 솔루션 기획, 개발, 기술지원 등) 필수요건 ① Java..."
a68056f9b2614197,[온라인공채] ZUM 빅데이터 분석 플랫폼 개발 및 운영(신입),미래에셋제5호기업인수목적 서울 서초구,,"기반한 의사결정 및 협업부서 업무 지원 자격조건 - Python, Java, Shell 등에 대해 능숙하게 다룰 수 있는 언어가 하나 이상 - 데이터... 통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임..."
eece82ee393c4374,[TmaxSoft/기술] 제품 QA 신입/경력,티맥스소프트 성남 분당구,,"툴을 활용한 기능/비기능적 품질 관리 업무 지속적인 품질 관리 활동, 결함 분석 및 오류 보고 자격요건 Java 또는 C 언어를 이용하여 프로그래밍 가능자 IT 관련학과 전공자 우대사항 소프트웨어 테스트 또는 소프트웨..."
a00f2af874949858,[현대엘엔에스] 경력사원 공채,현대로보틱스 성남 분당구,,"망업무 어플리케이션 개발 자격요건 · 전산,자동화,산업공학 전공자 · ICT 업무 5년 이상 경력 보유자 · JAVA, C#, .Net, Oracle DB 경력자 ※ 우대사항 - WMS/WCS 등 물류분야 개발 경력자 주요..."
d48c925acb7e4187,IT기획(대리-과장급) 초빙 - 유명 유통사,로이스에이치알 서울,,"해도 . 프로젝트 관리 (PMP 등), 프로그래밍 언어 (Python, Java 등), RDBMS (OCP 등) 관련 자격증 우대 . 영어회화 가능자... 프로그래밍 언어 (Python, Java 등), RDBMS (OCP 등..."
3e2a310c9dd0f693,[멜론] 빅데이터 서비스 개발자,카카오 4.2 성남 판교역,,"등)을 활용한 데이터 시각화 서비스 개발 지원자격 Spring Framework 개발 경력 3년 이상 Java 언어 능숙 자료구조, 알고리즘, OS, 네트워크, SQL의 기초 지식 보유 긍정적이고 원활한 커뮤니케이션..."
69a13f350f720c10,"JAVA 신입/경력 정규직, 계약직",굿로 서울 금천구,,"(주)소프트랩스 JAVA 신입/경력 정규직, 계약직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] JAVA 기반 웹 개발 [근무부서 및... 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA"
e4e36162481db73f,[인턴] RCS(Risk Consulting Services) 본부 Fo...,삼정 KPMG 3.3 서울 강남구,,"소프트웨어(EnCase, FTK, AXIOM 등) 사용 경험자 - 프로그래밍 및 스크립트(C, Python, Java, SQL 등) 사용 가능자 6. 전형절차 및 지원방법 - 1차: 서류전형 - 온라인 입사지원(http..."
16af988cd8210617,인사시스템 개발자,카카오 4.2 성남 판교역,,편의를 위한 시스템 개발 및 운영 향후 인사에 대한 인사이트를 제공할 시스템 설계 및 개발 지원자격 Java 및 Spring Framework에 대한 이해와 웹어플리케이션 개발 경험 (필수) OOP 기반 설계 및 구현...
67d626ca09b630e3,NXLog리포트팀 - 웹 프로그래머,Nexon 성남 분당구,,"데이터를 연동하고 외부에 전달하기 위한 API를 개발합니다. * 팀의 기술 스택 - Language : Java, TypeScript, JavaScript - Framework : Spring Boot, Angular..."
6f7012d86a9c4f76,삼성전자 C-lab 출신 기업 룰루랩 웹 플랫폼 개발자,룰루랩 서울 강남구,,"우대) [웹프로그래밍] - jsp, java, ASP / PHP 개발 능숙... DB서버 구축 및 유지 가능자 [응용 프로그래밍] - C, C++, JAVA, 임베디드 개발 유경험자 - .NET 프레임워크에 대한 기반 지식 보유자..."
a1c07e369c4a479e,소프트웨어 경력 계약직,강남구청 서울 강남구,"연봉 40,000,000원 - 50,000,000원",또는 전자정부프레임워크 기반 개발 JAVA경력자 우대 강남구청 소프트웨어... 교졸업 이상 기타: 스프링 프레임워크 또는 전자정부프레임워크 기반 개발 JAVA경력자 우대 1 명 근무조건 고용형태: 계약직(근무기간 5년) 근무부서...
5f252869bc42a429,[선릉/연3000만]IT Helpdesk/PC유지보수(경력/정규직),외국계기업 서울 강남구,"연봉 30,000,000원","외국계기업 | 금속 제조업 | java,C#,.NET,서버관리,네트워크관리,웹프로그래머,응용프로그래머,컴퓨터설치,컴퓨터조립 | 정규직 | 1년이상 | 주4일 | 조일근무 | 연봉 30,000,000 | 연령무관 | 2020-04-02"
b19575486d134ab7,BR&T Software Engineer Intern,BOEING 서울,,"Strong software development skills using Python, C, C++, Java, and Javascript etc (Preferred) Knowledge on aerospace..."
61ecdc0ef3cfb66a,[경력] 빅데이터 플랫폼 엔지니어,카카오 4.2 성남 판교역,,"및 도입 지원자격 5년 미만 경력자 <기술> 전산 전공 또는 그에 준하는 실무 경험을 갖추신 분 Java 필수, 그 외 Scala, Python, Ruby 중 1개 이상 언어로 개발 가능하신 분 하둡 플랫폼에 대한..."
ef98f90a8f290b00,[TmaxSoft/관리] 전사 정보시스템 설계 및 개발 관리,티맥스소프트 성남 분당구,,"TechNet, 홈페이지등 사내 시스템 관리 및 유지보수 자격요건 개발 3~6년 경력자(신입도 가능) jsp, java 프로그래밍 가능자, Spring 사용경험자 DB 관련 지식 보유자 우대사항 EIS(경영자정보..."
1dbf974fbe4e5628,애니파이브 - JAVA 개발자 경력직(정규직),애니파이브 서울 구로구,,"학력 대학졸업(2,3년) 성별 무관 기타 담당업무 (주)애니파이브 - JAVA 개발자 경력직(정규직) 채용 커리어 양식 지원 상세모집요강 접수기간... 직무별(직종) 웹프로그래머JSP, JAVA, MySQL, MS-SQL 응용..."
8a77ea973c5614ef,신입 R&D 연구원,스마트컨버전스 서울 중구,,"퇴직금"" 인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터..."
f05461ef8ff5b381,Cloud Technical Account Manager- Program...,Oracle 3.8 서울,,"database and middleware platforms, Oracle Database WebLogic/ Java; Strong communication and presentation skills including..."
606646e13ad5c569,Solution Architect,Kinaxis 서울,,"Kinaxis, SAP, JDA, etc. * Technical skills... SQL, R, Java Script, Python, etc. If you want... part of a team..."
66249e1638b6c1b0,JAVA 개발자,위즈온텍 서울 중구,"연봉 28,000,000원",모집직종 JAVA 프로그래밍 언어 전문가 모집인원 1명 학력 전문대학 전공 고용형태 상용직 근무예정지 서울특별시 중구 수표로 45 . 인근지하철 직무내용 JAVA 개발업무 경력조건 경력 필요경력 3년 개월 자격면허 병역...
611927e347a08d4a,si업무 담당자 (경력1년이상),마이스터정보기술 서울,,"서를 등록하지 않으셨다면!! 상세 이력서 등록하기 지원양식 커리어 온라인 이력서 전형절차 및 제출서류 전형절차 직무/산업 직무별(직종) 응용프로그래머C, C++, Java 산업별(업종) 솔루션.ASP.소프트웨어 소프트웨어개발"
f2bad4603d9397ca,IT 관련직원,이노플라이 서울 영등포구,"연봉 24,000,000원 - 26,000,000원","[웹프로그래밍] - jsp, java, ASP / PHP 개발 능숙자 - HTML, JavaScript, css 능숙자 - MS SQL, Oracle, MySQL 등 DBMS 설계 및 운영 가능자 - 웹, DB서버 구축 및..."
